month,month_name,scenario,restaurants_active,cases_sold,revenue_usd,cogs_usd,shipping_logistics,ttb_fl_duties,marketing_usd,travel_usd,insurance_license,net_cash_flow,cumulative_cash_flow
1,Jan,Aggressive,0,0,0,0,0,0,800,0,1200,-2000,-2000
2,Feb,Aggressive,0,0,0,0,0,0,800,1200,0,-2000,-4000
3,Mar,Aggressive,8,48,12672,7738,1200,792,800,0,0,2142,-1858
4,Apr,Aggressive,12,72,19008,11606,1800,1188,800,0,0,3614,1756
5,May,Aggressive,15,90,23760,14508,2250,1485,800,0,0,4717,6473
6,Jun,Aggressive,18,108,28512,17406,2700,1782,800,0,0,5824,12297
7,Jul,Aggressive,20,120,31680,19340,3000,1980,800,0,0,6560,18857
8,Aug,Aggressive,22,132,34848,21274,3300,2178,800,0,0,7296,26153
9,Sep,Aggressive,25,150,39600,24180,3750,2475,800,0,0,8395,34548
10,Oct,Aggressive,28,168,44352,27082,4200,2772,800,1200,0,8298,42846
11,Nov,Aggressive,30,195,51480,31434,4875,3218,800,0,0,11153,53999
12,Dec,Aggressive,30,225,59400,36270,5625,3713,800,0,0,12992,66991
1,Jan,Base,0,0,0,0,0,0,500,0,1200,-1700,-1700
2,Feb,Base,0,0,0,0,0,0,500,800,0,-1300,-3000
3,Mar,Base,5,30,7920,4836,750,495,500,0,0,1339,-1661
4,Apr,Base,8,48,12672,7738,1200,792,500,0,0,2442,781
5,May,Base,10,60,15840,9672,1500,990,500,0,0,3178,3959
6,Jun,Base,12,72,19008,11606,1800,1188,500,0,0,3914,7873
7,Jul,Base,14,84,22176,13541,2100,1386,500,0,0,4649,12522
8,Aug,Base,15,90,23760,14508,2250,1485,500,0,0,5017,17539
9,Sep,Base,17,102,26928,16439,2550,1683,500,0,0,5756,23295
10,Oct,Base,18,108,28512,17406,2700,1782,500,800,0,5324,28619
11,Nov,Base,20,130,34320,20956,3250,2145,500,0,0,7469,36088
12,Dec,Base,20,150,39600,24180,3750,2475,500,0,0,8695,44783
1,Jan,Conservative,0,0,0,0,0,0,500,0,1200,-1700,-1700
2,Feb,Conservative,0,0,0,0,0,0,500,800,0,-1300,-3000
3,Mar,Conservative,3,15,3960,2418,375,248,500,0,0,419,-2581
4,Apr,Conservative,5,25,6600,4030,625,413,500,0,0,1032,-1549
5,May,Conservative,5,25,6600,4030,625,413,500,0,0,1032,-517
6,Jun,Conservative,7,35,9240,5642,875,578,500,0,0,1645,1128
7,Jul,Conservative,8,40,10560,6448,1000,660,500,0,0,1952,3080
8,Aug,Conservative,8,40,10560,6448,1000,660,500,0,0,1952,5032
9,Sep,Conservative,10,50,13200,8060,1250,825,500,0,0,2565,7597
10,Oct,Conservative,10,55,14520,8866,1375,908,500,800,0,2071,9668
11,Nov,Conservative,12,65,17160,10478,1625,1073,500,0,0,3484,13152
12,Dec,Conservative,12,75,19800,12090,1875,1238,500,0,0,4097,17249
