month,scenario,restaurants_active,bottles_sold,revenue_wholesale,cogs,gross_profit,cumulative_profit
Month 1,Aggressive,8,320,6720,2560,4160,-19840
Month 2,Aggressive,12,480,10080,3840,6240,-13600
Month 3,Aggressive,16,720,15120,5760,9360,-4240
Month 4,Aggressive,20,900,18900,7200,11700,7460
Month 5,Aggressive,24,1080,22680,8640,14040,21500
Month 6,Aggressive,28,1260,26460,10080,16380,37880
Month 7,Aggressive,32,1440,30240,11520,18720,56600
Month 8,Aggressive,36,1620,34020,12960,21060,77660
Month 9,Aggressive,38,1710,35910,13680,22230,99890
Month 10,Aggressive,40,1800,37800,14400,23400,123290
Month 11,Aggressive,42,1890,39690,15120,24570,147860
Month 12,Aggressive,44,1980,41580,15840,25740,173600
Month 1,Conservative,3,90,1890,720,1170,-22830
Month 2,Conservative,5,150,3150,1200,1950,-20880
Month 3,Conservative,7,245,5145,1960,3185,-17695
Month 4,Conservative,9,315,6615,2520,4095,-13600
Month 5,Conservative,10,350,7350,2800,4550,-9050
Month 6,Conservative,12,420,8820,3360,5460,-3590
Month 7,Conservative,13,455,9555,3640,5915,2325
Month 8,Conservative,14,490,10290,3920,6370,8695
Month 9,Conservative,15,525,11025,4200,6825,15520
Month 10,Conservative,16,560,11760,4480,7280,22800
Month 11,Conservative,17,595,12495,4760,7735,30535
Month 12,Conservative,18,630,13230,5040,8190,38725
Month 1,Moderate,5,175,3675,1400,2275,-21725
Month 2,Moderate,8,280,5880,2240,3640,-18085
Month 3,Moderate,11,440,9240,3520,5720,-12365
Month 4,Moderate,14,560,11760,4480,7280,-5085
Month 5,Moderate,16,640,13440,5120,8320,3235
Month 6,Moderate,18,720,15120,5760,9360,12595
Month 7,Moderate,20,800,16800,6400,10400,22995
Month 8,Moderate,22,880,18480,7040,11440,34435
Month 9,Moderate,24,960,20160,7680,12480,46915
Month 10,Moderate,26,1040,21840,8320,13520,60435
Month 11,Moderate,28,1120,23520,8960,14560,74995
Month 12,Moderate,30,1200,25200,9600,15600,90595
